ID,week,day_week,exercise_name,set,reps,weight,completed
1,1,2,squat,1,6,0.8,0
2,1,2,squat,2,6,0.8,0
3,1,2,squat,3,6,0.8,0
4,1,2,squat,4,6,0.8,0
5,1,2,deadlift,1,6,0.8,0
6,1,2,deadlift,2,6,0.8,0
7,1,2,optional 1,1,0,0,0
8,1,2,optional 1,2,0,0,0
9,1,2,optional 1,3,0,0,0
10,1,2,optional 2,1,0,0,0
11,1,2,optional 2,2,0,0,0
12,1,2,optional 2,3,0,0,0
13,1,3,bench press,1,10,0.5,0
14,1,3,bench press,2,10,0.675,0
15,1,3,bench press,3,8,0.75,0
16,1,3,bench press,4,6,0.775,0
17,1,3,barbell row,1,10,0,0
18,1,3,barbell row,2,10,0,0
19,1,3,barbell row,3,8,0,0
20,1,3,barbell row,4,6,0,0
21,1,3,military press,1,12,0,0
22,1,3,military press,2,12,0,0
23,1,3,military press,3,10,0,0
24,1,3,military press,4,8,0,0
25,1,3,lat pulldown,1,12,0,0
26,1,3,lat pulldown,2,12,0,0
27,1,3,lat pulldown,3,10,0,0
28,1,3,lat pulldown,4,8,0,0
29,1,3,optional 1,1,10,0,0
30,1,3,optional 1,2,10,0,0
31,1,3,optional 1,3,10,0,0
32,1,3,optional 2,1,10,0,0
33,1,3,optional 2,2,10,0,0
34,1,3,optional 2,3,10,0,0
35,1,5,bench press,1,10,0.5,0
36,1,5,bench press,2,10,0.675,0
37,1,5,bench press,3,8,0.75,0
38,1,5,bench press,4,6,0.775,0
39,1,5,barbell row,1,10,0,0
40,1,5,barbell row,2,10,0,0
41,1,5,barbell row,3,8,0,0
42,1,5,barbell row,4,6,0,0
43,1,5,military press,1,12,0,0
44,1,5,military press,2,12,0,0
45,1,5,military press,3,10,0,0
46,1,5,military press,4,8,0,0
47,1,5,lat pulldown,1,12,0,0
48,1,5,lat pulldown,2,12,0,0
49,1,5,lat pulldown,3,10,0,0
50,1,5,lat pulldown,4,8,0,0
51,1,5,optional 1,1,12,0,0
52,1,5,optional 1,2,12,0,0
53,1,5,optional 1,3,12,0,0
54,1,5,optional 2,1,12,0,0
55,1,5,optional 2,2,12,0,0
56,1,5,optional 2,3,12,0,0
57,1,6,squat,1,8,0.7,0
58,1,6,squat,2,8,0.7,0
59,1,6,squat,3,8,0.7,0
60,1,6,squat,4,8,0.7,0
61,1,6,deadlift,1,8,0.7,0
62,1,6,deadlift,2,8,0.7,0
63,1,6,optional 1,1,0,0,0
64,1,6,optional 1,2,0,0,0
65,1,6,optional 1,3,0,0,0
66,1,6,optional 2,1,0,0,0
67,1,6,optional 2,2,0,0,0
68,1,6,optional 2,3,0,0,0
69,1,7,bench press,1,1,0.8,0
70,1,7,barbell row,1,10,0,0
71,1,7,barbell row,2,10,0,0
72,1,7,barbell row,3,8,0,0
73,1,7,barbell row,4,6,0,0
74,1,7,military press,1,12,0,0
75,1,7,military press,2,12,0,0
76,1,7,military press,3,10,0,0
77,1,7,military press,4,8,0,0
78,1,7,lat pulldown,1,12,0,0
79,1,7,lat pulldown,2,12,0,0
80,1,7,lat pulldown,3,10,0,0
81,1,7,lat pulldown,4,8,0,0
82,1,7,optional 1,1,10,0,0
83,1,7,optional 1,2,10,0,0
84,1,7,optional 1,3,10,0,0
85,1,7,optional 2,1,10,0,0
86,1,7,optional 2,2,10,0,0
87,1,7,optional 2,3,10,0,0
88,2,2,squat,1,10,0.8,0
89,2,2,deadlift,1,8,0.8,0
90,2,2,deadlift,2,8,0.8,0
91,2,2,deadlift,3,8,0.8,0
92,2,2,optional 1,1,0,0,0
93,2,2,optional 1,2,0,0,0
94,2,2,optional 1,3,0,0,0
95,2,2,optional 2,1,0,0,0
96,2,2,optional 2,2,0,0,0
97,2,2,optional 2,3,0,0,0
98,2,3,bench press,1,10,0.725,0
99,2,3,bench press,2,8,0.775,0
100,2,3,bench press,3,6,0.8,0
101,2,3,barbell row,1,10,0,0
102,2,3,barbell row,2,8,0,0
103,2,3,barbell row,3,8,0,0
104,2,3,Military press,1,10,0,0
105,2,3,Military press,2,8,0,0
106,2,3,Military press,3,6,0,0
107,2,3,lat pulldown,1,10,0,0
108,2,3,lat pulldown,2,8,0,0
109,2,3,lat pulldown,3,6,0,0
110,2,3,optional 1,1,10,0,0
111,2,3,optional 1,2,10,0,0
112,2,3,optional 1,3,10,0,0
113,2,3,optional 2,1,10,0,0
114,2,3,optional 2,2,10,0,0
115,2,3,optional 2,3,10,0,0
116,2,5,squat,1,1,0.8,0
117,2,5,deadlift,1,8,0,0
118,2,5,deadlift,2,8,0,0
119,2,5,deadlift,3,8,0,0
120,2,5,optional 1,1,10,0,0
121,2,5,optional 1,2,10,0,0
122,2,5,optional 1,3,10,0,0
123,2,5,optional 2,1,10,0,0
124,2,5,optional 2,2,10,0,0
125,2,5,optional 2,3,10,0,0
126,2,6,bench press,1,1,0.8,0
127,2,6,barbell row,1,10,0,0
128,2,6,barbell row,2,10,0,0
129,2,6,barbell row,3,8,0,0
130,2,6,barbell row,4,6,0,0
131,2,6,military press,1,12,0,0
132,2,6,military press,2,12,0,0
133,2,6,military press,3,10,0,0
134,2,6,military press,4,8,0,0
135,2,6,lat pulldown,1,12,0,0
136,2,6,lat pulldown,2,12,0,0
137,2,6,lat pulldown,3,10,0,0
138,2,6,lat pulldown,4,8,0,0
139,2,6,optional 1,1,10,0,0
140,2,6,optional 1,2,10,0,0
141,2,6,optional 1,3,10,0,0
142,2,6,optional 2,1,10,0,0
143,2,6,optional 2,2,10,0,0
144,2,6,optional 2,3,10,0,0
145,2,7,bench press,1,1,0.8,0
146,2,7,barbell row,1,10,0,0
147,2,7,barbell row,2,10,0,0
148,2,7,barbell row,3,8,0,0
149,2,7,barbell row,4,6,0,0
150,2,7,military press,1,12,0,0
151,2,7,military press,2,12,0,0
152,2,7,military press,3,10,0,0
153,2,7,military press,4,8,0,0
154,2,7,lat pulldown,1,12,0,0
155,2,7,lat pulldown,2,12,0,0
156,2,7,lat pulldown,3,10,0,0
157,2,7,lat pulldown,4,8,0,0
158,2,7,optional 1,1,10,0,0
159,2,7,optional 1,2,10,0,0
160,2,7,optional 1,3,10,0,0
161,2,7,optional 2,1,10,0,0
162,2,7,optional 2,2,10,0,0
163,2,7,optional 2,3,10,0,0
164,3,1,squat,1,10,0.8,0
165,3,1,deadlift,1,8,0.8,0
166,3,2,deadlift,2,8,0.8,0
167,4,1,deadlift,3,8,0.8,0
168,4,5,optional 1,1,0,0,0
169,5,2,optional 1,2,0,0,0
170,5,2,optional 1,3,0,0,0
171,5,3,optional 2,1,0,0,0
172,5,3,optional 2,2,0,0,0
173,6,2,optional 2,3,0,0,0
174,6,2,bench press,1,10,0.725,0
175,6,4,bench press,2,8,0.775,0
176,6,4,bench press,3,6,0.8,0
177,6,6,barbell row,1,10,0,0
178,6,6,barbell row,2,8,0,0
179,6,7,barbell row,3,8,0,0
180,6,7,Military press,1,10,0,0
